"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-10-08","11:15:00",6744.94,"2 Oct 8 6770 C STO 0.40 | 1 Oct 8 6740 C BTO 10.90 | 1 Oct 8 6800 C BTO 0.10",-1030,6753.72,"2025-10-08","16:00:00",-1372,"Expired",337,1,1220164.28,1030,"R9. MAD ORB Replacement Bfly",5,0,0.07,0.007,16.57,16.25,9.28,21.07,47.57,-23.3
"2025-10-08","11:01:00",6742.78,"1 Oct 8 6745 C BTO 6.70 | 1 Oct 8 6825 C BTO 0.05 | 2 Oct 8 6785 C STO 0.15",-650,6753.72,"2025-10-08","16:00:00",-872,"Expired",217,1,1218875.4,650,"R2. Jiji ORB Call Butterfly",5,0,0.04,0.011,16.59,16.25,9.28,18.91,78.46,-32.31
"2025-10-08","10:30:00",6742.58,"1 Oct 8 6725 P BTO 3.60 | 1 Oct 8 6745 C BTO 7.55 | 1 Oct 8 6775 C STO 0.40",-1085,6753.72,"2025-10-08","16:00:00",-872,"Expired",-216.36,1,1218659.04,1085,"Ric Intraday swan net",3.36,0,0.04,0.005,16.71,16.25,9.28,18.71,17.97,-54.84
"2025-10-08","10:30:00",6742.58,"1 Oct 8 6745 C BTO 7.55 | 1 Oct 8 6775 C STO 0.40",-725,6754.46,"2025-10-08","15:56:00",-1020,"Exited at Specified Time",289.88,1,1218658.4,1085,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",3.56,1.56,0.05,0.005,16.71,16.24,9.28,18.71,60,-39.31
"2025-10-08","10:30:00",6742.58,"1 Oct 8 6725 P BTO 3.60",-370,6753.74,"2025-10-08","14:12:00",-55,"Stop Loss",-317.56,1,1219321.24,1085,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",1.78,0.78,0,0,16.71,16.37,9.28,18.71,22.97,-85.14
"2025-10-08","10:02:00",6734.95,"1 Oct 8 6740 C BTO 7.90 | 1 Oct 8 6780 C STO 0.25",-775,6753.72,"2025-10-08","16:00:00",-1372,"Expired",593.74,1,1219252.78,1550,"McRib Deluxe - 1 Con",3.26,0,0.03,0.003,16.93,16.25,9.28,11.08,106.45,-9.03
"2025-10-08","10:02:00",6734.95,"1 Oct 8 6730 P BTO 8.15 | 1 Oct 8 6650 P STO 0.40",-785,6751.15,"2025-10-08","15:45:00",10,"Exited at Specified Time",-801.52,1,1218368.52,1550,"McRib Deluxe - 1 Con",3.26,3.26,0.05,1,16.93,16.41,9.28,11.08,0,-100
"2025-10-08","09:45:00",6720.98,"1 Oct 8 6620 P BTO 0.40",-40,6753.72,"2025-10-08","16:00:00",0,"Expired",-40,1,1219212.78,40,"Blackswan hedge",0,0,0,0,17.18,16.25,9.28,-2.89,0,-100
"2025-10-08","09:32:00",6728.61,"1 Oct 8 6725 P BTO 10.60 | 1 Oct 8 6725 C BTO 11.85",-2255,6753.72,"2025-10-08","16:00:00",-2872,"Expired",614.5,1,1219827.28,2255,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,17,16.25,9.28,4.74,38.58,-5.99
"2025-10-07","09:45:00",6749.49,"1 Oct 7 6660 P BTO 0.40",-40,6714.59,"2025-10-07","16:00:00",0,"Expired",-40,1,1218113.86,40,"Blackswan hedge",0,0,0,0,16.33,17.19,5.86,3.35,487.5,-100
"2025-10-07","09:32:00",6751.13,"1 Oct 7 6745 P BTO 7.20 | 1 Oct 7 6745 C BTO 12.90",-2020,6714.59,"2025-10-07","16:00:00",-3041,"Expired",1018.5,1,1219443.8,2020,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16.28,17.19,5.86,4.99,121.78,-24.01
"2025-10-06","15:05:00",6744.17,"1 Oct 8 6705 P STO 8.15 | 1 Oct 8 6775 C STO 5.90 | 1 Oct 10 6705 P BTO 16.60 | 1 Oct 10 6775 C BTO 16.40",-1898,6748.37,"2025-10-08","14:45:00",-1752,"Exited at Specified Time",-151.2,1,1219170.04,1898,"Gabo - DC SPX 2/4 Monday - No VIX",2.6,2.6,0.43,0.02,16.51,16.53,18.07,10.31,8.54,-10.43
"2025-10-06","11:46:00",6739.01,"1 Oct 6 6740 C BTO 5.55 | 1 Oct 6 6820 C BTO 0.05 | 2 Oct 6 6780 C STO 0.10",-545,6740.28,"2025-10-06","16:00:00",-28,"Expired",-522,1,1217606.36,545,"R2. Jiji ORB Call Butterfly",5,0,0.04,0.154,16.61,16.36,18.07,5.15,73.39,-94.86
"2025-10-06","09:45:00",6726.48,"1 Oct 6 6630 P BTO 0.40",-40,6740.28,"2025-10-06","16:00:00",0,"Expired",-40,1,1217566.36,40,"Blackswan hedge",0,0,0,0,16.9,16.36,18.07,-7.38,12.5,-100
"2025-10-06","09:35:00",6735.15,"1 Oct 6 6710 P STO 3.10 | 1 Oct 6 6755 C STO 1.90 | 1 Oct 6 6685 P BTO 1.20 | 1 Oct 6 6780 C BTO 0.25",335,6740.28,"2025-10-06","16:00:00",0,"Expired",330,1,1217896.36,2165,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.45,1,16.81,16.36,18.07,1.29,100,-31.34
"2025-10-06","09:32:00",6737.56,"1 Oct 6 6720 P STO 4.45 | 1 Oct 6 6695 P BTO 1.70",260,6740.28,"2025-10-06","16:00:00",0,"Expired",257.5,1,1218153.86,2240,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.62,1,16.73,16.36,18.07,3.7,100,-159.62
"2025-10-03","11:49:00",6743.43,"1 Oct 3 6725 P BTO 1.85",-195,6722.71,"2025-10-03","15:35:00",-500,"Exited at Specified Time",302.44,1,1222889.64,775,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",1.78,0.78,0,0,16.25,16.5,6.79,21.29,984.62,-43.59
"2025-10-03","11:49:00",6743.43,"1 Oct 3 6745 C BTO 5.95 | 1 Oct 3 6775 C STO 0.15",-590,6725.71,"2025-10-03","13:43:00",-85,"Stop Loss",-510.12,1,1222587.2,775,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",3.56,1.56,0.03,0.105,16.25,16.65,6.79,21.29,56.78,-85.59
"2025-10-03","11:15:00",6742.44,"2 Oct 3 6765 C STO 0.65 | 1 Oct 3 6735 C BTO 12.30 | 1 Oct 3 6795 C BTO 0.10",-1120,6715.79,"2025-10-03","16:00:00",0,"Expired",-1125,1,1221988.12,1120,"R9. MAD ORB Replacement Bfly",5,0,0.1,1,16.42,16.53,6.79,20.3,41.52,-100
"2025-10-03","10:45:00",6745.2,"1 Oct 3 6745 C BTO 8.25 | 1 Oct 3 6825 C BTO 0.05 | 2 Oct 3 6785 C STO 0.15",-805,6715.79,"2025-10-03","16:00:00",0,"Expired",-810,1,1221178.12,805,"R2. Jiji ORB Call Butterfly",5,0,0.04,1,16.35,16.53,6.79,23.06,16.15,-100
"2025-10-03","09:45:00",6733.11,"1 Oct 3 6605 P BTO 0.35",-35,6715.79,"2025-10-03","16:00:00",0,"Expired",-35,1,1220259.86,35,"Blackswan hedge",0,0,0,0,16.35,16.53,6.79,10.97,28.57,-100
"2025-10-03","09:40:00",6736.52,"1 Oct 3 6740 C BTO 9.10 | 1 Oct 3 6780 C STO 0.40",-880,6715.79,"2025-10-03","16:00:00",0,"Expired",-883.26,1,1220294.86,1865,"McRib Deluxe - 1 Con",3.26,0,0.04,1,16.3,16.53,6.79,14.38,50.57,-100
"2025-10-03","09:40:00",6736.52,"1 Oct 3 6735 P BTO 10.65 | 1 Oct 3 6655 P STO 0.80",-995,6722.46,"2025-10-03","15:45:00",-1225,"Exited at Specified Time",223.48,1,1223113.12,1865,"McRib Deluxe - 1 Con",3.26,3.26,0.08,0.004,16.3,16.35,6.79,14.38,182.91,-85.93
"2025-10-03","09:32:00",6731.25,"1 Oct 3 6720 P BTO 7.30 | 1 Oct 3 6720 C BTO 18.10",-2550,6715.79,"2025-10-03","16:00:00",-421,"Expired",-2131.5,1,1218128.36,2550,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16.36,16.53,6.79,9.11,28.82,-83.73
"2025-10-02","10:15:00",6711.59,"1 Oct 7 6700 P STO 24.80 | 1 Oct 7 6690 P BTO 21.60",315,6714.59,"2025-10-07","16:00:00",0,"Expired",311.44,1,1218425.3,685,"New JonE 42 Delta",3.56,0,1.15,1,16.35,17.19,20.11,-19.72,100,-50.79
"2025-10-02","09:45:00",6714.9,"1 Oct 2 6585 P BTO 0.35",-35,6715.35,"2025-10-02","16:00:00",0,"Expired",-35,1,1223544.82,35,"Blackswan hedge",0,0,0,0,16.21,16.61,20.11,-16.41,0,-100
"2025-10-02","09:32:00",6729.15,"1 Oct 2 6730 P BTO 10.35 | 1 Oct 2 6730 C BTO 8.65",-1910,6715.35,"2025-10-02","16:00:00",-1465,"Expired",-447.5,1,1223097.32,1910,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16,16.61,20.11,-2.16,96.86,-47.91
"2025-10-01","15:40:00",6715.4,"1 Oct 2 6715 P STO 12.80 | 1 Oct 2 6755 C STO 1.25 | 1 Oct 6 6715 P BTO 25.20 | 1 Oct 8 6755 C BTO 18.60",-2995,6714.2,"2025-10-02","13:55:00",-3275,"Exited at Specified Time",270,1,1223579.82,2995,"R5. Jeevan Double Calender 20%  - Wed only - 1 con",5,5,0.32,0.146,16,16.54,-23.54,50.48,13.02,-18.36
"2025-10-01","14:00:00",6704.67,"1 Oct 1 6700 P STO 2.60 | 1 Oct 1 6660 P BTO 0.35",215,6711.2,"2025-10-01","16:00:00",0,"Expired",212.5,1,1220477.32,3785,"4. MAD Afternoon Bullish PCS 40 wide",2.5,0,7.43,1,16.17,16.16,-23.54,39.75,100,-6.98
"2025-10-01","11:15:00",6686.75,"2 Oct 1 6710 C STO 0.80 | 1 Oct 1 6680 C BTO 12.00 | 1 Oct 1 6740 C BTO 0.10",-1060,6711.2,"2025-10-01","16:00:00",-2880,"Expired",1815,1,1224459.82,1060,"R9. MAD ORB Replacement Bfly",5,0,0.13,0.101,16.33,16.16,-23.54,21.83,171.7,-13.21
"2025-10-01","10:58:00",6683.63,"1 Oct 1 6685 C BTO 7.60 | 1 Oct 1 6765 C BTO 0.05 | 2 Oct 1 6725 C STO 0.20",-730,6711.2,"2025-10-01","16:00:00",-2620,"Expired",1885,1,1222362.32,730,"R2. Jiji ORB Call Butterfly",5,0,0.05,0.004,16.37,16.16,-23.54,18.71,335.62,-4.79
"2025-10-01","10:12:00",6670.81,"1 Oct 1 6650 P STO 4.65 | 1 Oct 1 6625 P BTO 1.65",285,6711.2,"2025-10-01","16:00:00",0,"Expired",282.5,1,1222644.82,2215,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.82,1,16.57,16.16,-23.54,5.89,100,-1.75
"2025-10-01","09:45:00",6678.08,"1 Oct 1 6500 P BTO 0.35",-35,6711.2,"2025-10-01","16:00:00",0,"Expired",-35,1,1224424.82,35,"Blackswan hedge",0,0,0,0,16.47,16.16,-23.54,13.16,28.57,-100
"2025-10-01","09:35:00",6671.19,"1 Oct 1 6640 P STO 4.75 | 1 Oct 1 6695 C STO 3.15 | 1 Oct 1 6615 P BTO 2.10 | 1 Oct 1 6720 C BTO 0.50",510,6711.2,"2025-10-01","16:00:00",1620,"Expired",-1115,1,1223309.82,1990,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.04,167.5,16.49,16.16,-23.54,6.27,37.25,-313.73
"2025-09-30","09:47:00",6656.39,"1 Sep 30 6635 P STO 5.55 | 1 Sep 30 6610 P BTO 2.20",320,6688.46,"2025-09-30","16:00:00",0,"Expired",317.5,1,1220797.02,2180,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.52,1,16.27,16.11,-5.02,0.2,100,-70.31
"2025-09-30","09:45:00",6655.97,"1 Sep 30 6550 P BTO 0.35",-35,6688.46,"2025-09-30","16:00:00",0,"Expired",-35,1,1220762.02,35,"Blackswan hedge",0,0,0,0,16.25,16.11,-5.02,-0.22,14.29,-100
"2025-09-30","09:35:00",6649.55,"1 Sep 30 6620 P STO 4.45 | 1 Sep 30 6675 C STO 3.15 | 1 Sep 30 6595 P BTO 1.75 | 1 Sep 30 6700 C BTO 0.45",520,6688.46,"2025-09-30","16:00:00",1346,"Expired",-831,1,1219931.02,1980,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.45,133.5,16.53,16.11,-5.02,-6.64,84.62,-210.58
"2025-09-29","15:05:00",6657.17,"1 Oct 1 6615 P STO 9.10 | 1 Oct 1 6695 C STO 6.85 | 1 Oct 3 6615 P BTO 17.70 | 1 Oct 3 6695 C BTO 17.00",-1878,6704.38,"2025-10-01","13:27:00",-2217,"Below Delta",333.8,1,1220264.82,1878,"Gabo - DC SPX 2/4 Monday - No VIX",2.6,2.6,0.46,0.349,16.03,16.08,17.88,-4.41,25.4,-9.74
"2025-09-29","09:45:00",6668.85,"1 Sep 29 6570 P BTO 0.40",-40,6661.21,"2025-09-29","16:00:00",0,"Expired",-40,1,1219475.58,40,"Blackswan hedge",0,0,0,0,15.92,16.03,17.88,7.27,0,-100
"2025-09-29","09:35:00",6667.88,"1 Sep 29 6645 P STO 3.65 | 1 Sep 29 6690 C STO 2.40 | 1 Sep 29 6620 P BTO 1.40 | 1 Sep 29 6715 C BTO 0.40",405,6661.21,"2025-09-29","16:00:00",0,"Expired",400,1,1220197.02,2095,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.36,1,15.92,16.03,17.88,6.3,100,-3.7
"2025-09-29","09:32:00",6668.02,"1 Sep 29 6650 P STO 4.70 | 1 Sep 29 6625 P BTO 1.70",285,6661.21,"2025-09-29","16:00:00",0,"Expired",282.5,1,1220479.52,2215,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.76,1,15.93,16.03,17.88,6.44,100,-117.54
"2025-09-26","10:39:00",6618.73,"1 Sep 26 6620 C BTO 12.75 | 1 Sep 26 6650 C STO 2.40",-1045,6641.27,"2025-09-26","15:56:00",-2195,"Exited at Specified Time",1144.88,1,1220201.34,1705,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",3.56,1.56,0.19,0.002,16.47,15.4,10.66,3.35,131.1,-45.93
"2025-09-26","10:39:00",6618.73,"1 Sep 26 6600 P BTO 6.60",-670,6635.49,"2025-09-26","12:53:00",-100,"Stop Loss",-572.56,1,1220157.98,1705,"R3. Mr. Tea's RIC (No Mondays, no Short Put) - 1 con",1.78,0.78,0,0,16.47,15.79,10.66,3.35,55.97,-85.07
"2025-09-26","09:45:00",6636.36,"1 Sep 26 6525 P BTO 0.40",-40,6643.7,"2025-09-26","16:00:00",0,"Expired",-40,1,1219498.08,40,"Blackswan hedge",0,0,0,0,16.21,15.36,10.66,20.98,125,-100
"2025-09-26","09:40:00",6635.1,"1 Sep 26 6640 C BTO 11.20 | 1 Sep 26 6680 C STO 1.00",-1030,6643.7,"2025-09-26","16:00:00",-370,"Expired",-663.26,1,1219538.08,2135,"McRib Deluxe - 1 Con",3.26,0,0.09,0.015,16.24,15.36,10.66,19.72,45.15,-89.32
"2025-09-26","09:40:00",6635.1,"1 Sep 26 6630 P BTO 11.80 | 1 Sep 26 6550 P STO 0.75",-1115,6639.86,"2025-09-26","15:45:00",-20,"Exited at Specified Time",-1101.52,1,1219056.46,2135,"McRib Deluxe - 1 Con",3.26,3.26,0.06,0.143,16.24,15.56,10.66,19.72,133.18,-98.21
"2025-09-26","09:32:00",6620.93,"1 Sep 26 6615 P BTO 11.85 | 1 Sep 26 6615 C BTO 16.55",-2850,6643.7,"2025-09-26","16:00:00",-2870,"Expired",17.5,1,1219515.58,2850,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16.56,15.36,10.66,5.55,37.89,-33.51
"2025-09-25","10:08:00",6598.94,"1 Sep 25 6575 P STO 5.45 | 1 Sep 25 6550 P BTO 2.05",325,6604.72,"2025-09-25","16:00:00",0,"Expired",322.5,1,1217076.02,2175,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.66,1,17.06,16.72,-29.78,-9.25,100,-175.38
"2025-09-25","09:45:00",6576.84,"1 Sep 25 6440 P BTO 0.40",-40,6604.72,"2025-09-25","16:00:00",0,"Expired",-40,1,1217036.02,40,"Blackswan hedge",0,0,0,0,17.72,16.72,-29.78,-31.35,0,-100
"2025-09-25","09:35:00",6595.18,"1 Sep 25 6565 P STO 4.80 | 1 Sep 25 6625 C STO 4.00 | 1 Sep 25 6540 P BTO 1.85 | 1 Sep 25 6650 C BTO 0.85",590,6604.72,"2025-09-25","16:00:00",0,"Expired",585,1,1217621.02,1910,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.26,1,17.24,16.72,-29.78,-13.01,100,-31.36
"2025-09-25","09:32:00",6595.65,"2 Nov 14 6250 P STO 53.25 | 1 Nov 14 6300 P BTO 59.90 | 1 Nov 14 6150 P BTO 42.30",405,6745.64,"2025-10-08","11:14:00",200,"Profit Target",195,1,1219638.8,4595,"BWB Gap Down - Max 3 Open",5,5,1.04,1.038,17.33,16.56,-29.78,-12.54,56.79,-16.05
"2025-09-24","15:40:00",6634,"1 Sep 25 6635 P STO 15.55 | 1 Sep 25 6680 C STO 1.45 | 1 Sep 29 6635 P BTO 28.70 | 1 Oct 1 6680 C BTO 21.10",-3300,6589.03,"2025-09-25","13:55:00",-1535,"Exited at Specified Time",-1775,1,1216753.52,3300,"R5. Jeevan Double Calender 20%  - Wed only - 1 con",5,5,0.34,0.748,16.46,17.13,12.87,-35.79,5.45,-58.33
"2025-09-24","11:11:00",6652.86,"1 Sep 29 6640 P STO 25.90 | 1 Sep 29 6630 P BTO 22.60",325,6661.21,"2025-09-29","16:00:00",0,"Expired",321.44,1,1219797.02,675,"New JonE 42 Delta",3.56,0,1.15,1,16.67,16.03,12.87,-16.93,100,-141.54
"2025-09-24","09:45:00",6661.11,"1 Sep 24 6580 P BTO 0.40",-40,6637.97,"2025-09-24","16:00:00",0,"Expired",-40,1,1213443.5,40,"Blackswan hedge",0,0,0,0,16.57,16.36,12.87,-8.68,162.5,-100
"2025-09-24","09:32:00",6668.35,"1 Sep 24 6670 P BTO 11.05 | 1 Sep 24 6670 C BTO 8.80",-1995,6637.97,"2025-09-24","16:00:00",-3203,"Expired",1205.5,1,1214649,1995,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16.37,16.36,12.87,-1.44,136.84,-10.53
"2025-09-23","09:45:00",6693.88,"1 Sep 23 6605 P BTO 0.35",-35,6656.92,"2025-09-23","16:00:00",0,"Expired",-35,1,1212464.2,35,"Blackswan hedge",0,0,0,0,16.14,16.71,-1.31,1.44,257.14,-100
"2025-09-23","09:32:00",6694.8,"1 Sep 23 6690 P BTO 7.00 | 1 Sep 23 6690 C BTO 11.90",-1900,6656.92,"2025-09-23","16:00:00",-3308,"Expired",1405.5,1,1213869.7,1900,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,16.01,16.71,-1.31,2.36,125.79,-28.68
"2025-09-22","15:05:00",6695.25,"1 Sep 24 6660 P STO 8.55 | 1 Sep 24 6725 C STO 6.35 | 1 Sep 26 6660 P BTO 17.40 | 1 Sep 26 6725 C BTO 17.10",-1963,6647.16,"2025-09-24","11:39:00",-1582,"Above Delta",-386.2,1,1213483.5,1963,"Gabo - DC SPX 2/4 Monday - No VIX",2.6,2.6,0.43,0.497,15.88,16.72,-10.08,40.97,5.71,-24.1
"2025-09-22","14:00:00",6689.81,"1 Sep 22 6685 P STO 2.50 | 1 Sep 22 6645 P BTO 0.35",205,6693.75,"2025-09-22","16:00:00",0,"Expired",202.5,1,1212499.2,3795,"4. MAD Afternoon Bullish PCS 40 wide",2.5,0,7.14,1,15.94,16.04,-10.08,35.53,100,-46.34
"2025-09-22","11:15:00",6674.85,"2 Sep 22 6700 C STO 0.45 | 1 Sep 22 6670 C BTO 9.05 | 1 Sep 22 6730 C BTO 0.10",-835,6693.75,"2025-09-22","16:00:00",-2375,"Expired",1535,1,1213792.76,835,"R9. MAD ORB Replacement Bfly",5,0,0.1,0.004,15.9,16.04,-10.08,20.57,234.73,-25.75
"2025-09-22","10:45:00",6671.79,"1 Sep 22 6670 C BTO 7.45 | 1 Sep 22 6750 C BTO 0.10 | 2 Sep 22 6710 C STO 0.25",-710,6693.75,"2025-09-22","16:00:00",-2375,"Expired",1660,1,1212257.76,710,"R2. Jiji ORB Call Butterfly",5,0,0.07,0.004,15.87,16.04,-10.08,17.51,306.34,-10.56
"2025-09-22","09:54:00",6658.74,"1 Sep 22 6645 P STO 3.45 | 1 Sep 22 6620 P BTO 1.00",230,6693.75,"2025-09-22","16:00:00",0,"Expired",227.5,1,1214020.26,2270,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,3.45,1,15.91,16.04,-10.08,4.46,100,0
"2025-09-22","09:45:00",6652.88,"1 Sep 22 6535 P BTO 0.35",-35,6693.75,"2025-09-22","16:00:00",0,"Expired",-35,1,1214311.7,35,"Blackswan hedge",0,0,0,0,16.06,16.04,-10.08,-1.4,0,-100
"2025-09-22","09:35:00",6653.93,"1 Sep 22 6630 P STO 2.85 | 1 Sep 22 6670 C STO 2.35 | 1 Sep 22 6605 P BTO 1.00 | 1 Sep 22 6695 C BTO 0.35",365,6693.75,"2025-09-22","16:00:00",2375,"Expired",-2015,1,1212296.7,2135,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.85,49.2,15.99,16.04,-10.08,-0.35,23.29,-584.93
"2025-09-19","09:45:00",6642.82,"1 Sep 19 6485 P BTO 0.40",-40,6664.36,"2025-09-19","16:00:00",0,"Expired",-40,1,1211274.26,40,"Blackswan hedge",0,0,0,0,15.61,15.49,15.15,-4.29,0,-100
"2025-09-19","09:32:00",6647.41,"1 Sep 19 6645 P BTO 13.00 | 1 Sep 19 6645 C BTO 13.00",-2610,6664.36,"2025-09-19","16:00:00",-1936,"Expired",-676.5,1,1210597.76,2610,"R3. Jeevan  Vix DOWN Straddle $32 Limit Max GAP .9%",2.5,0,0,0,15.37,15.49,15.15,0.3,0,-61.69
"2025-09-18","11:18:00",6641.52,"2 Sep 18 6665 C STO 1.35 | 1 Sep 18 6635 C BTO 13.15 | 1 Sep 18 6695 C BTO 0.15",-1070,6631.96,"2025-09-18","16:00:00",0,"Expired",-1075,1,1213465.76,1070,"R9. MAD ORB Replacement Bfly",5,0,0.2,0.667,15.63,15.77,26.5,14.67,39.25,-100
"2025-09-18","10:01:00",6631.83,"1 Sep 18 6635 C BTO 10.45 | 1 Sep 18 6675 C STO 0.70",-985,6631.96,"2025-09-18","16:00:00",0,"Expired",-988.26,1,1214575.76,2060,"McRib Deluxe - 1 Con",3.26,0,0.07,0.5,15.24,15.77,26.5,4.98,126.4,-100
"2025-09-18","10:01:00",6631.83,"1 Sep 18 6630 P BTO 11.45 | 1 Sep 18 6550 P STO 0.70",-1085,6632.12,"2025-09-18","15:45:00",-185,"Exited at Specified Time",-906.52,1,1215564.02,2060,"McRib Deluxe - 1 Con",3.26,3.26,0.06,0.025,15.24,15.72,26.5,4.98,0,-94.47
